subj,pas,discr_accu,loc_accu,expDes1,expDes2,expDes3,expDes4,expDes5
1,2,1,1,1,2,4,2,7
1,2,1,1,1,2,3,2,1
1,1,1,1,2,1,4,1,7
1,1,0,1,1,2,3,2,27
1,1,1,1,1,1,3,1,10
1,1,1,0,2,2,3,1,5
1,1,1,1,2,1,2,1,2
1,1,0,1,1,1,1,2,25
1,1,0,1,1,1,4,2,28
1,2,0,1,1,2,3,1,28
1,1,1,0,2,2,3,1,6
1,1,1,1,1,1,1,1,26
1,1,0,1,1,1,1,2,7
1,4,1,1,1,2,4,1,21
1,1,0,1,1,1,2,2,31
1,1,1,0,2,2,5,1,6
1,4,1,1,1,2,5,1,30
1,2,0,1,1,2,3,1,9
1,1,0,0,2,2,1,2,8
1,1,0,1,1,1,2,2,5
1,1,0,0,1,2,1,2,23
1,1,1,1,1,1,3,1,29
1,1,1,0,2,2,3,1,3
1,1,1,0,1,2,2,1,28
1,1,1,0,2,2,4,1,8
1,1,1,0,1,2,1,1,6
1,1,0,0,1,2,1,2,11
1,2,0,1,1,1,4,2,10
1,1,0,0,2,2,1,2,10
1,1,1,1,1,1,4,2,35
1,1,1,0,1,2,3,1,19
1,4,1,1,1,2,4,1,28
1,1,0,1,1,1,1,2,26
1,1,1,0,2,2,5,1,2
1,1,0,0,1,2,1,2,6
1,2,1,1,1,2,1,2,31
1,4,1,1,1,2,4,1,2
1,1,0,1,1,1,1,2,9
1,1,1,1,1,1,1,1,4
1,1,0,0,1,2,1,2,5
