,N_p,N_t,sigma_b,sigma_w,mu,seeds,QUID,OANOVA
308,30,100,15,1000,0,8,4.800512505,0.000143738
309,30,100,15,1000,0,9,0.007137252,0.998992921
310,30,100,15,1000,0,10,0.007419015,0.999988592
311,30,100,15,1000,0,11,0.191823739,0.158622143
312,30,100,15,1000,0,12,0.006913512,0.998760288
313,30,100,15,1000,0,13,0.555196429,0.003823341
314,30,100,15,1000,0,14,0.013582411,0.999203932
315,30,100,15,1000,0,15,0.03217732,0.880327062
316,30,100,15,1000,0,16,2.232937235,0.034166046
317,30,100,15,1000,0,17,0.024800948,0.437803346
318,30,100,15,1000,0,18,0.008842046,0.981278613
319,30,100,15,1000,0,19,1.84E+11,8.99E-13
320,30,100,15,1000,0,20,0.018862002,0.784326383
321,30,100,15,1000,0,21,5.55E+22,0
322,30,100,15,1000,0,22,618.8246165,2.26E-07
323,30,100,15,1000,0,23,8.243603352,4.99E-05
324,30,100,15,1000,0,24,0.048323484,0.548889578
325,30,100,15,1000,0,25,177.3344303,3.35E-06
326,30,100,15,1000,0,26,0.516309609,0.065189424
327,30,100,15,1000,0,27,0.046460446,0.429441018
328,30,100,15,1000,0,28,0.010593617,0.99259225
329,30,100,15,1000,0,29,0.032521164,0.913038028
330,30,100,15,1000,0,30,0.014701993,0.997585967
331,30,100,15,1000,0,31,0.074952096,0.372171994
332,30,100,15,1000,0,32,115.1015751,0.000463329
333,30,100,15,1000,0,33,0.010191903,0.994452216
334,30,100,15,1000,0,34,0.00810114,0.997472602
335,30,100,15,1000,0,35,0.015630429,0.996266519
336,30,100,15,1000,0,36,0.023662007,0.931764346
337,30,100,15,1000,0,37,3.589723969,0.010735748
338,30,100,15,1000,0,38,0.005841345,0.999945251
339,30,100,15,1000,0,39,0.092632714,0.140712573
340,30,100,15,1000,0,40,0.007580348,0.996182093
341,30,100,15,1000,0,41,57.74739546,2.98E-06
342,30,100,15,1000,0,42,0.0185802,0.564839834
343,30,100,15,1000,0,43,1.78499097,0.001527808
344,30,100,15,1000,0,44,0.008498327,0.996178004
