sub trial_no group_type block_type prime target mask1 mask2 congruency key_press key_error time_error RT
2 13 LeftSmaller PercIAPrac Prime_6N Target_4N AgMfDFd AMEefjK Incongruent left error Normal 1716.39
2 14 LeftSmaller PercIAPrac Prime_1N Target_1A GlbchKC IDBdgeb Congruent left correct Normal 961.793
2 15 LeftSmaller PercIAPrac Prime_6A Target_1N jBHCDFk MGJHfhj Incongruent right correct Normal 1363.087
2 16 LeftSmaller PercIAPrac Prime_6N Target_6A EIcjLDB bfMmIhA Congruent right correct Normal 1797.524
2 17 LeftSmaller PercIAExp1 Prime_1N Target_1N KcEFhme FgJfhdE Congruent left correct Normal 299.7336
2 18 LeftSmaller PercIAExp1 Prime_1N Target_4A eBEICLd mlifjcI Congruent right error Normal 244.8241
2 19 LeftSmaller PercIAExp1 Prime_9N Target_6N IkAKcBD JAkKhHa Congruent right correct Normal 291.5148
2 20 LeftSmaller PercIAExp1 Prime_1A Target_9N aLmFcfh bDfjGeJ Incongruent left correct Early 78.16794
2 21 LeftSmaller PercIAExp1 Prime_6A Target_6N iLhlGMD LbGIdkC Congruent right correct Normal 342.9486
2 22 LeftSmaller PercIAExp1 Prime_4N Target_4N hdfEieG kgKjCmb Congruent right error Early 25.19479
2 23 LeftSmaller PercIAExp1 Prime_9A Target_4N dCcjJfm GlcAmkE Incongruent left error Normal 464.9013
2 24 LeftSmaller PercIAExp1 Prime_4N Target_9N hgaEMeB FdHMmJe Incongruent right error Normal 757.4489
2 25 LeftSmaller PercIAExp1 Prime_9A Target_6A lDAmHIK kACFlJh Congruent left error Normal 309.8936
2 26 LeftSmaller PercIAExp1 Prime_4A Target_4A KkleMbd cGbFECH Congruent right error Normal 314.4119
2 27 LeftSmaller PercIAExp1 Prime_1A Target_4N aljCiFd ilbeKgI Congruent left correct Normal 547.2125
2 28 LeftSmaller PercIAExp1 Prime_6A Target_6A FdfGADg GahMDbd Congruent right correct Normal 597.2495
2 29 LeftSmaller PercIAExp1 Prime_4A Target_9N GLHAcjJ deibDGl Incongruent right error Normal 502.9318
2 30 LeftSmaller PercIAExp1 Prime_6A Target_4A iEfHmgK GALEFMa Incongruent right correct Normal 383.2219
2 31 LeftSmaller PercIAExp1 Prime_4A Target_9A mHAgbiG EelDfJL Incongruent left correct Normal 1101.516
2 32 LeftSmaller PercIAExp1 Prime_6N Target_4N GcKmHfA CcLDMhb Incongruent left error Normal 474.698
2 33 LeftSmaller PercIAExp1 Prime_1N Target_4N aIkfFEm FcDElmJ Congruent right error Normal 160.6068
2 34 LeftSmaller PercIAExp1 Prime_4N Target_6A DCaEAlL fLKJaiB Incongruent right error Normal 405.5392
2 35 LeftSmaller PercIAExp1 Prime_1A Target_1A gjidMKH mkgCial Congruent left correct Normal 372.3336
2 36 LeftSmaller PercIAExp1 Prime_4N Target_1A DEjICJA mfClEaK Congruent left correct Normal 614.9899
2 37 LeftSmaller PercIAExp1 Prime_6A Target_9N BMmEClF lMFamgG Congruent right correct Normal 568.7834
2 38 LeftSmaller PercIAExp1 Prime_4N Target_6N FgjEIli mIeFDjd Incongruent right error Normal 395.0746
2 39 LeftSmaller PercIAExp1 Prime_9N Target_9A FBJEkAI KCAbkBh Congruent left error Normal 4285.178
2 40 LeftSmaller PercIAExp1 Prime_1N Target_6N bGKHIli KBAHhkJ Incongruent right error Normal 1173.096
2 41 LeftSmaller PercIAExp1 Prime_6N Target_9A LAjmkid ImJaHce Congruent right correct Normal 597.0576
2 42 LeftSmaller PercIAExp1 Prime_4A Target_1N EGCAhfF aBchDjH Congruent left correct Normal 488.1074
2 43 LeftSmaller PercIAExp1 Prime_9N Target_4N JIeMbHA eJiflcb Incongruent right correct Normal 454.1339
2 44 LeftSmaller PercIAExp1 Prime_1A Target_1N lDAiFmB fjDklGK Congruent right error Normal 343.0074
2 45 LeftSmaller PercIAExp1 Prime_6N Target_6N gIBMjKJ JbKDLEl Congruent left error Normal 340.5031
2 46 LeftSmaller PercIAExp1 Prime_9A Target_9N DILBKEM ficACJd Congruent right correct Normal 896.5088
2 47 LeftSmaller PercIAExp1 Prime_6A Target_1A hBeIDdK ijfcmFC Incongruent right correct Normal 3495.392
2 48 LeftSmaller PercIAExp1 Prime_9A Target_1A bcmJIhe aCFbeiB Incongruent left error Normal 448.4113
2 49 LeftSmaller PercIAExp1 Prime_1A Target_6A cmAgajb lbgfmkD Incongruent right error Normal 518.7188
2 50 LeftSmaller PercIAExp1 Prime_4A Target_6A efFjGdB bJcIdgi Incongruent right error Normal 241.3396
2 51 LeftSmaller PercIAExp1 Prime_6A Target_9A lCDkeEL HdEhDjl Congruent right correct Normal 535.6649
2 52 LeftSmaller PercIAExp1 Prime_6N Target_9N lafHcdA CjiFADK Congruent left error Normal 286.585
2 53 LeftSmaller PercIAExp1 Prime_6N Target_6A ECjdAme chlJAFm Congruent right correct Normal 239.5703
2 54 LeftSmaller PercIAExp1 Prime_9N Target_1N kMgCKie aHgAihB Incongruent left error Normal 380.4108
2 55 LeftSmaller PercIAExp1 Prime_9A Target_4A hBMJaGm LgdBKcG Incongruent left error Early 95.59567
2 56 LeftSmaller PercIAExp1 Prime_9N Target_1A CedDghG ilMEAHg Incongruent right correct Normal 509.5455
2 57 LeftSmaller PercIAExp1 Prime_9N Target_4A jdilMeE BIfMALk Incongruent left error Normal 280.3708
2 58 LeftSmaller PercIAExp1 Prime_9N Target_9N hHeKMfc DcChgdf Congruent right correct Normal 3395.521
2 59 LeftSmaller PercIAExp1 Prime_9A Target_9A ILFlmKG dhiJfmB Congruent left error Normal 251.4775
2 60 LeftSmaller PercIAExp1 Prime_1N Target_6A ecglKdE lKDAaCH Incongruent right error Normal 456.2432
2 61 LeftSmaller PercIAExp1 Prime_1N Target_9N KFeDGma kjbBeGf Incongruent right error Normal 226.6566
2 62 LeftSmaller PercIAExp1 Prime_9A Target_1N AEdKJiB ciBhIGk Incongruent right correct Normal 463.3119
2 63 LeftSmaller PercIAExp1 Prime_4N Target_1N kIcJBeg KajHLIm Congruent left correct Early 28.50346
2 64 LeftSmaller PercIAExp1 Prime_6N Target_1A GLBIlAd cImjFDB Incongruent left error Normal 765.6373
2 65 LeftSmaller PercIAExp1 Prime_4N Target_4A mGbJdjA CbflKkI Congruent left correct Normal 634.5137
2 66 LeftSmaller PercIAExp1 Prime_4A Target_1A kbKBGIA IfGmaEb Congruent right error Normal 404.6343
2 67 LeftSmaller PercIAExp1 Prime_6A Target_4N Makhcme AlCHJeE Incongruent left error Normal 499.5279
2 68 LeftSmaller PercIAExp1 Prime_9A Target_6N geBMEiH jBHFCbf Congruent right correct Normal 427.6852
2 69 LeftSmaller PercIAExp1 Prime_6A Target_1N AdlEgKH mcMDKJI Incongruent left error Normal 610.3893
2 70 LeftSmaller PercIAExp1 Prime_4A Target_6N EcKJGag DfbEJdc Incongruent right error Normal 1241.125
