"","idv","iv","iv2","exp","dv"
"337",2,2,1,"Stein & van Peelen_2020_3_1",2
"338",2,1,2,"Stein & van Peelen_2020_3_2",2
"339",2,2,2,"Stein & van Peelen_2020_3_2",2
"340",2,1,1,"Stein & van Peelen_2020_3_1",2
"341",2,1,2,"Stein & van Peelen_2020_3_1",2
"342",2,2,2,"Stein & van Peelen_2020_3_1",2
"343",2,1,1,"Stein & van Peelen_2020_3_1",2
"344",2,1,2,"Stein & van Peelen_2020_3_2",2
"345",2,1,1,"Stein & van Peelen_2020_3_2",1
"346",2,1,1,"Stein & van Peelen_2020_3_2",2
"347",2,2,1,"Stein & van Peelen_2020_3_1",1
"348",2,1,1,"Stein & van Peelen_2020_3_2",1
"349",2,2,1,"Stein & van Peelen_2020_3_2",1
"350",2,1,2,"Stein & van Peelen_2020_3_2",1
"351",2,1,2,"Stein & van Peelen_2020_3_1",1
"352",2,2,2,"Stein & van Peelen_2020_3_2",2
"353",2,1,1,"Stein & van Peelen_2020_3_2",1
"354",2,1,1,"Stein & van Peelen_2020_3_2",1
"355",2,1,2,"Stein & van Peelen_2020_3_2",2
"356",2,1,2,"Stein & van Peelen_2020_3_2",2
"357",2,1,2,"Stein & van Peelen_2020_3_1",1
"358",2,2,2,"Stein & van Peelen_2020_3_1",1
"359",2,1,2,"Stein & van Peelen_2020_3_1",1
"360",2,2,2,"Stein & van Peelen_2020_3_1",1
"361",2,1,1,"Stein & van Peelen_2020_3_1",1
"362",2,2,1,"Stein & van Peelen_2020_3_1",1
"363",2,1,2,"Stein & van Peelen_2020_3_1",1
"364",2,2,2,"Stein & van Peelen_2020_3_2",1
"365",2,2,2,"Stein & van Peelen_2020_3_1",1
"366",2,1,1,"Stein & van Peelen_2020_3_2",2
"367",2,2,1,"Stein & van Peelen_2020_3_1",1
"368",2,2,1,"Stein & van Peelen_2020_3_2",1
"369",2,1,2,"Stein & van Peelen_2020_3_2",2
"370",2,1,1,"Stein & van Peelen_2020_3_1",2
"371",2,1,2,"Stein & van Peelen_2020_3_2",1
"372",2,2,2,"Stein & van Peelen_2020_3_2",1
"373",2,1,2,"Stein & van Peelen_2020_3_1",1
"374",2,1,2,"Stein & van Peelen_2020_3_2",1
"375",2,1,2,"Stein & van Peelen_2020_3_2",1
"376",2,1,2,"Stein & van Peelen_2020_3_2",2
"377",2,1,1,"Stein & van Peelen_2020_3_1",1
"378",2,1,1,"Stein & van Peelen_2020_3_2",2
"379",2,2,1,"Stein & van Peelen_2020_3_1",1
"380",2,2,1,"Stein & van Peelen_2020_3_2",2
"381",2,2,1,"Stein & van Peelen_2020_3_1",2
"382",2,2,2,"Stein & van Peelen_2020_3_2",1
"383",2,1,2,"Stein & van Peelen_2020_3_2",1
"384",2,2,1,"Stein & van Peelen_2020_3_2",1
"385",2,1,1,"Stein & van Peelen_2020_3_1",1
"386",2,1,2,"Stein & van Peelen_2020_3_2",2
"387",2,2,2,"Stein & van Peelen_2020_3_2",2
"388",2,2,1,"Stein & van Peelen_2020_3_2",1
"389",2,1,1,"Stein & van Peelen_2020_3_2",1
"390",2,1,2,"Stein & van Peelen_2020_3_1",1
"391",2,2,2,"Stein & van Peelen_2020_3_2",1
"392",2,2,2,"Stein & van Peelen_2020_3_2",1
"393",2,1,1,"Stein & van Peelen_2020_3_1",1
"394",2,1,2,"Stein & van Peelen_2020_3_1",1
"395",2,2,1,"Stein & van Peelen_2020_3_1",1
"396",2,1,2,"Stein & van Peelen_2020_3_1",2
"397",2,2,2,"Stein & van Peelen_2020_3_2",2
"398",2,1,2,"Stein & van Peelen_2020_3_1",1
"399",2,2,1,"Stein & van Peelen_2020_3_2",2
"400",2,1,2,"Stein & van Peelen_2020_3_2",2
"401",2,2,1,"Stein & van Peelen_2020_3_2",1
"402",2,1,1,"Stein & van Peelen_2020_3_2",1
"403",2,1,2,"Stein & van Peelen_2020_3_1",1
"404",2,2,2,"Stein & van Peelen_2020_3_2",2
"405",2,1,2,"Stein & van Peelen_2020_3_1",1
"406",2,2,2,"Stein & van Peelen_2020_3_1",1
"407",2,1,1,"Stein & van Peelen_2020_3_1",2
"408",2,1,1,"Stein & van Peelen_2020_3_1",2
"409",2,1,2,"Stein & van Peelen_2020_3_1",1
"410",2,1,1,"Stein & van Peelen_2020_3_2",1
"411",2,1,1,"Stein & van Peelen_2020_3_1",2
"412",2,2,1,"Stein & van Peelen_2020_3_1",1
"413",2,2,2,"Stein & van Peelen_2020_3_2",1
"414",2,2,2,"Stein & van Peelen_2020_3_1",1
"415",2,2,1,"Stein & van Peelen_2020_3_2",1
"416",2,2,1,"Stein & van Peelen_2020_3_2",1
"417",2,1,1,"Stein & van Peelen_2020_3_1",1
"418",2,2,1,"Stein & van Peelen_2020_3_1",1
"419",2,1,2,"Stein & van Peelen_2020_3_1",2
"420",2,1,1,"Stein & van Peelen_2020_3_1",2
"421",2,2,2,"Stein & van Peelen_2020_3_2",1
"422",2,2,1,"Stein & van Peelen_2020_3_1",2
"423",2,1,1,"Stein & van Peelen_2020_3_1",1
"424",2,1,1,"Stein & van Peelen_2020_3_2",2
"425",2,2,1,"Stein & van Peelen_2020_3_1",1
"426",2,1,1,"Stein & van Peelen_2020_3_2",1
"427",2,2,2,"Stein & van Peelen_2020_3_2",1
"428",2,2,1,"Stein & van Peelen_2020_3_2",1
"429",2,1,1,"Stein & van Peelen_2020_3_1",1
"430",2,2,1,"Stein & van Peelen_2020_3_2",1
"431",2,2,1,"Stein & van Peelen_2020_3_2",1
"432",2,1,2,"Stein & van Peelen_2020_3_2",1
"433",2,1,2,"Stein & van Peelen_2020_3_1",1
"434",2,1,2,"Stein & van Peelen_2020_3_2",1
"435",2,2,2,"Stein & van Peelen_2020_3_1",1
"436",2,2,1,"Stein & van Peelen_2020_3_2",1
"437",2,1,2,"Stein & van Peelen_2020_3_1",1
"438",2,1,2,"Stein & van Peelen_2020_3_2",1
"439",2,1,2,"Stein & van Peelen_2020_3_2",1
"440",2,1,2,"Stein & van Peelen_2020_3_2",1
"441",2,1,1,"Stein & van Peelen_2020_3_2",1
"442",2,2,1,"Stein & van Peelen_2020_3_2",1
"443",2,2,1,"Stein & van Peelen_2020_3_2",1
"444",2,1,2,"Stein & van Peelen_2020_3_1",1
"445",2,1,1,"Stein & van Peelen_2020_3_2",1
"446",2,2,2,"Stein & van Peelen_2020_3_2",1
"447",2,2,1,"Stein & van Peelen_2020_3_2",1
"448",2,2,1,"Stein & van Peelen_2020_3_2",1
"449",2,2,2,"Stein & van Peelen_2020_3_1",1
"450",2,2,2,"Stein & van Peelen_2020_3_1",1
"451",2,2,1,"Stein & van Peelen_2020_3_1",2
"452",2,1,1,"Stein & van Peelen_2020_3_2",2
"453",2,2,1,"Stein & van Peelen_2020_3_1",1
