idv,iv,dv,exp
201,cong,0.36715,Noel et al_2020_V
201,incong,0.30441,Noel et al_2020_V
201,cong,0.30104,Noel et al_2020_A
201,incong,0.33513,Noel et al_2020_A
201,incong,0.25881,Noel et al_2020_V
201,cong,0.28535,Noel et al_2020_V
201,cong,0.37058,Noel et al_2020_A
201,cong,0.29487,Noel et al_2020_A
201,cong,0.24684,Noel et al_2020_V
201,incong,0.34149,Noel et al_2020_A
201,cong,0.33684,Noel et al_2020_AV
201,cong,0.29176,Noel et al_2020_V
201,incong,0.30302,Noel et al_2020_AV
201,cong,0.3959,Noel et al_2020_A
201,cong,0.32942,Noel et al_2020_V
201,cong,0.33897,Noel et al_2020_A
201,cong,0.394,Noel et al_2020_AV
201,cong,0.2809,Noel et al_2020_AV
201,cong,0.27719,Noel et al_2020_V
201,cong,0.31402,Noel et al_2020_A
201,cong,0.3995,Noel et al_2020_V
201,cong,0.5627,Noel et al_2020_AV
201,incong,0.31093,Noel et al_2020_V
201,cong,0.26922,Noel et al_2020_A
201,cong,0.31022,Noel et al_2020_V
201,cong,0.25638,Noel et al_2020_V
201,cong,0.4132,Noel et al_2020_AV
