"Subject" "TrialNr" "Arrow" "ArrowTask.CRESP" "ArrowTask.RESP" "ArrowTask.ACC" "ArrowTask.RT" "Target" "Distractor" "Task" "TypeOfRelation" "Relatedness" "Word" "WordColor" "Picture" "PictureColor" "VoiceTask.RT" "WordError" "SpeechError" "IncorrectTrigger" "AnyError"
11 1 "left" 1 1 1 636 "kanon" "fabriek" "word" "semantic" "unrelated" "kanon" "green" "fabriek_red.bmp" "red" 930.3 0 0 0 0
11 2 "right" 2 2 1 570 "lelie" "kabel" "pic" "phonological" "unrelated" "kabel" "red" "lelie_green.bmp" "green" 1237.3 0 0 0 0
11 3 "right" 2 2 1 694 "kanon" "fabriek" "pic" "semantic" "unrelated" "fabriek" "red" "kanon_green.bmp" "green" 1272.3 0 0 0 0
11 4 "left" 1 1 1 892 "kano" "kabel" "pic" "phonological" "related" "kabel" "red" "kano_green.bmp" "green" 1119.3 0 0 0 0
11 5 "right" 2 2 1 990 "zetel" "hamer" "pic" "semantic" "unrelated" "hamer" "red" "zetel_green.bmp" "green" 1139.3 0 0 0 0
11 6 "right" 2 2 1 842 "totem" "toren" "pic" "phonological" "related" "toren" "red" "totem_green.bmp" "green" 1634.3 0 0 0 0
11 7 "left" 1 1 1 888 "konijn" "auto" "pic" "semantic" "unrelated" "auto" "red" "konijn_green.bmp" "green" 870.3 0 0 0 0
11 8 "left" 1 1 1 1111 "bezem" "wapen" "pic" "phonological" "unrelated" "wapen" "red" "bezem_green.bmp" "green" 1123.3 0 0 0 0
11 9 "left" 1 1 1 792 "auto" "vliegtuig" "word" "semantic" "related" "auto" "green" "vliegtuig_red.bmp" "red" 899.3 0 0 0 0
11 10 "left" 1 1 1 645 "kogel" "koning" "word" "phonological" "related" "kogel" "green" "koning_red.bmp" "red" 794.3 0 0 0 0
11 11 "right" 2 2 1 775 "zebra" "zegel" "word" "phonological" "related" "zebra" "green" "zegel_red.bmp" "red" 988.3 0 0 0 0
11 12 "right" 2 2 1 531 "banaan" "zwemvlies" "pic" "semantic" "unrelated" "zwemvlies" "red" "banaan_green.bmp" "green" 925.3 0 0 0 0
11 13 "right" 2 2 1 818 "rugby" "koning" "pic" "phonological" "unrelated" "koning" "red" "rugby_green.bmp" "green" 1112.3 0 0 0 0
11 14 "right" 2 2 1 629 "kano" "kabel" "word" "phonological" "related" "kano" "green" "kabel_red.bmp" "red" 774.3 0 0 0 0
11 15 "left" 1 1 1 604 "kanon" "pistool" "word" "semantic" "related" "kanon" "green" "pistool_red.bmp" "red" 964.3 0 0 0 0
11 16 "right" 2 2 1 476 "potlood" "vulpen" "word" "semantic" "related" "potlood" "green" "vulpen_red.bmp" "red" 925.3 0 0 0 0
