"","idv","iv","iv2","dv","exp"
"268",503,"DegradedProc",1,2058,"Yap_etal_2008"
"269",503,"DegradedProc",1,2141,"Yap_etal_2008"
"270",504,"CleanProc",1,532,"Yap_etal_2008"
"271",504,"CleanProc",1,543,"Yap_etal_2008"
"272",504,"CleanProc",1,544,"Yap_etal_2008"
"273",504,"CleanProc",1,576,"Yap_etal_2008"
"274",504,"CleanProc",1,581,"Yap_etal_2008"
"275",504,"CleanProc",1,583,"Yap_etal_2008"
"276",504,"CleanProc",1,590,"Yap_etal_2008"
"277",504,"CleanProc",1,595,"Yap_etal_2008"
"278",504,"CleanProc",1,602,"Yap_etal_2008"
"279",504,"CleanProc",1,619,"Yap_etal_2008"
"280",504,"DegradedProc",1,619,"Yap_etal_2008"
"281",504,"CleanProc",1,622,"Yap_etal_2008"
"282",504,"CleanProc",1,628,"Yap_etal_2008"
"283",504,"DegradedProc",1,634,"Yap_etal_2008"
"284",504,"CleanProc",1,635,"Yap_etal_2008"
"285",504,"DegradedProc",1,644,"Yap_etal_2008"
"286",504,"CleanProc",1,648,"Yap_etal_2008"
"287",504,"CleanProc",1,651,"Yap_etal_2008"
"288",504,"CleanProc",1,652,"Yap_etal_2008"
"289",504,"DegradedProc",1,652,"Yap_etal_2008"
"290",504,"DegradedProc",1,658,"Yap_etal_2008"
"291",504,"CleanProc",1,665,"Yap_etal_2008"
"292",504,"CleanProc",1,668,"Yap_etal_2008"
"293",504,"CleanProc",1,680,"Yap_etal_2008"
"294",504,"CleanProc",1,682,"Yap_etal_2008"
"295",504,"DegradedProc",1,682,"Yap_etal_2008"
"296",504,"CleanProc",1,688,"Yap_etal_2008"
"297",504,"DegradedProc",1,689,"Yap_etal_2008"
"298",504,"CleanProc",1,708,"Yap_etal_2008"
"299",504,"CleanProc",1,711,"Yap_etal_2008"
"300",504,"CleanProc",1,719,"Yap_etal_2008"
"301",504,"CleanProc",1,720,"Yap_etal_2008"
"302",504,"CleanProc",1,723,"Yap_etal_2008"
"303",504,"CleanProc",1,724,"Yap_etal_2008"
"304",504,"CleanProc",1,724,"Yap_etal_2008"
"305",504,"DegradedProc",1,725,"Yap_etal_2008"
"306",504,"DegradedProc",1,728,"Yap_etal_2008"
"307",504,"DegradedProc",1,737,"Yap_etal_2008"
"308",504,"DegradedProc",1,748,"Yap_etal_2008"
"309",504,"CleanProc",1,749,"Yap_etal_2008"
"310",504,"DegradedProc",1,757,"Yap_etal_2008"
"311",504,"CleanProc",1,762,"Yap_etal_2008"
"312",504,"DegradedProc",1,765,"Yap_etal_2008"
"313",504,"DegradedProc",1,767,"Yap_etal_2008"
"314",504,"DegradedProc",1,769,"Yap_etal_2008"
"315",504,"CleanProc",1,771,"Yap_etal_2008"
"316",504,"DegradedProc",1,774,"Yap_etal_2008"
"317",504,"CleanProc",1,775,"Yap_etal_2008"
"318",504,"CleanProc",1,787,"Yap_etal_2008"
"319",504,"CleanProc",1,790,"Yap_etal_2008"
"320",504,"DegradedProc",1,794,"Yap_etal_2008"
"321",504,"CleanProc",1,819,"Yap_etal_2008"
"322",504,"CleanProc",1,833,"Yap_etal_2008"
"323",504,"DegradedProc",1,883,"Yap_etal_2008"
"324",504,"DegradedProc",1,884,"Yap_etal_2008"
"325",504,"DegradedProc",1,894,"Yap_etal_2008"
"326",504,"CleanProc",1,895,"Yap_etal_2008"
"327",504,"CleanProc",1,897,"Yap_etal_2008"
"328",504,"DegradedProc",1,932,"Yap_etal_2008"
"329",504,"CleanProc",1,951,"Yap_etal_2008"
"330",504,"DegradedProc",1,965,"Yap_etal_2008"
"331",504,"DegradedProc",1,966,"Yap_etal_2008"
"332",504,"DegradedProc",1,987,"Yap_etal_2008"
"333",504,"DegradedProc",1,1001,"Yap_etal_2008"
"334",504,"CleanProc",1,1007,"Yap_etal_2008"
"335",504,"CleanProc",1,1049,"Yap_etal_2008"
"336",504,"DegradedProc",1,1071,"Yap_etal_2008"
"337",504,"CleanProc",1,1074,"Yap_etal_2008"
"338",504,"DegradedProc",1,1090,"Yap_etal_2008"
"339",504,"CleanProc",1,1092,"Yap_etal_2008"
"340",504,"DegradedProc",1,1127,"Yap_etal_2008"
"341",504,"CleanProc",1,1131,"Yap_etal_2008"
"342",504,"DegradedProc",1,1147,"Yap_etal_2008"
"343",504,"CleanProc",1,1163,"Yap_etal_2008"
"344",504,"DegradedProc",1,1202,"Yap_etal_2008"
"345",504,"DegradedProc",1,1211,"Yap_etal_2008"
"346",504,"DegradedProc",1,1220,"Yap_etal_2008"
"347",504,"DegradedProc",1,1234,"Yap_etal_2008"
"348",504,"DegradedProc",1,1250,"Yap_etal_2008"
"349",504,"DegradedProc",1,1272,"Yap_etal_2008"
"350",504,"DegradedProc",1,1273,"Yap_etal_2008"
"351",504,"DegradedProc",1,1283,"Yap_etal_2008"
"352",504,"DegradedProc",1,1299,"Yap_etal_2008"
"353",504,"CleanProc",1,1396,"Yap_etal_2008"
"354",504,"DegradedProc",1,1403,"Yap_etal_2008"
