Subject,ldtfreq,Procedure,word_NW,Target.ACC,Target.RT,border,z,,,
505,1,DegradedProc,1,1,1138,1,1.511384007,,,
505,1,DegradedProc,1,1,1382,1,2.361898336,,,
506,1,DegradedProc,1,1,448,1,-1.381310237,,,
506,1,DegradedProc,1,1,516,1,-1.29007584,,,
506,1,DegradedProc,1,1,517,1,-1.288734157,,,
506,1,DegradedProc,1,1,521,1,-1.283367428,,,
506,1,DegradedProc,1,1,542,1,-1.2551921,,,
506,1,DegradedProc,1,1,547,1,-1.248483688,,,
506,1,CleanProc,1,1,613,1,-1.159932656,,,
506,1,CleanProc,1,1,614,1,-1.158590974,,,
506,1,DegradedProc,1,1,616,1,-1.155907609,,,
506,1,DegradedProc,1,1,635,1,-1.130415645,,,
506,1,DegradedProc,1,1,646,1,-1.11565714,,,
506,1,DegradedProc,1,1,663,1,-1.092848541,,,
506,1,DegradedProc,1,1,712,1,-1.027106107,,,
506,1,DegradedProc,1,1,766,1,-0.954655263,,,
506,1,DegradedProc,1,1,797,1,-0.913063111,,,
506,1,DegradedProc,1,1,810,1,-0.895621241,,,
506,1,DegradedProc,1,1,843,1,-0.851345725,,,
506,1,DegradedProc,1,1,892,1,-0.785603292,,,
506,1,CleanProc,1,1,915,1,-0.754744599,,,
506,1,CleanProc,1,1,937,1,-0.725227588,,,
506,1,DegradedProc,1,1,1001,1,-0.63935992,,,
506,1,DegradedProc,1,1,1026,1,-0.605817863,,,
506,1,CleanProc,1,1,1036,1,-0.59240104,,,
506,1,DegradedProc,1,1,1146,1,-0.444815986,,,
506,1,CleanProc,1,1,1147,1,-0.443474303,,,
506,1,DegradedProc,1,1,1155,1,-0.432740845,,,
506,1,DegradedProc,1,1,1196,1,-0.37773187,,,
506,1,DegradedProc,1,1,1206,1,-0.364315047,,,
506,1,DegradedProc,1,1,1251,1,-0.303939343,,,
506,1,DegradedProc,1,1,1258,1,-0.294547567,,,
506,1,CleanProc,1,1,1344,1,-0.179162889,,,
506,1,CleanProc,1,1,1373,1,-0.140254102,,,
