S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
29E   	8   	24   	  50 	above 	green 	red 	Good 	0.516 	0.079 	8.529 	
29E   	8   	26   	  350 	below 	green 	red 	Good 	0.360 	0.068 	8.824 	
29E   	8   	27   	  350 	below 	red 	red 	Good 	0.442 	0.073 	9.118 	
29E   	8   	28   	  350 	below 	green 	green 	Good 	0.411 	0.083 	10.294 	
29E   	8   	29   	  650 	below 	green 	green 	Good 	0.336 	0.099 	10.588 	
29E   	8   	30   	  950 	below 	red 	green 	Good 	0.335 	0.094 	11.029 	
29E   	8   	31   	  950 	above 	red 	green 	Good 	0.369 	0.088 	8.824 	
29E   	8   	32   	  50 	above 	red 	red 	Good 	0.532 	0.074 	8.382 	
29E   	9   	2   	  350 	below 	green 	green 	Good 	0.433 	0.099 	8.676 	
29E   	9   	3   	  650 	above 	green 	red 	Good 	0.300 	0.109 	8.088 	
29E   	9   	4   	  950 	below 	green 	green 	Good 	0.319 	0.099 	8.382 	
29E   	9   	5   	  950 	above 	green 	red 	Good 	0.401 	0.074 	6.765 	
29E   	9   	6   	  350 	below 	green 	red 	Good 	0.393 	0.069 	7.500 	
29E   	9   	7   	  50 	above 	red 	green 	Good 	0.386 	0.078 	7.353 	
29E   	9   	8   	  650 	below 	green 	green 	Good 	0.315 	0.086 	5.735 	
29E   	9   	9   	  50 	above 	red 	red 	Good 	0.332 	0.075 	7.647 	
29E   	9   	10   	  350 	above 	green 	green 	Good 	0.350 	0.089 	9.706 	
29E   	9   	11   	  950 	below 	red 	red 	Good 	0.296 	0.062 	7.059 	
29E   	9   	13   	  350 	above 	green 	red 	Good 	0.415 	0.071 	8.235 	
29E   	9   	14   	  350 	above 	red 	green 	Good 	0.355 	0.086 	8.676 	
29E   	9   	15   	  950 	below 	red 	green 	Good 	0.289 	0.095 	11.618 	
29E   	9   	16   	  350 	below 	red 	red 	Good 	0.506 	0.082 	10.588 	
29E   	9   	17   	  50 	below 	red 	red 	Good 	0.374 	0.072 	8.235 	
29E   	9   	18   	  950 	below 	green 	red 	Good 	0.416 	0.077 	8.676 	
29E   	9   	19   	  650 	above 	red 	red 	Good 	0.403 	0.074 	8.382 	
29E   	9   	20   	  650 	below 	red 	red 	Good 	0.341 	0.076 	7.941 	
29E   	9   	21   	  950 	above 	red 	red 	Good 	0.342 	0.069 	8.824 	
29E   	9   	22   	  350 	below 	red 	green 	Good 	0.354 	0.099 	10.588 	
29E   	9   	23   	  650 	below 	red 	green 	Good 	0.312 	0.107 	11.471 	
29E   	9   	24   	  50 	below 	green 	green 	Good 	0.379 	0.095 	8.235 	
29E   	9   	26   	  650 	above 	green 	green 	Good 	0.396 	0.097 	8.824 	
29E   	9   	27   	  50 	above 	green 	red 	Good 	0.413 	0.068 	8.676 	
29E   	9   	28   	  50 	below 	green 	red 	Good 	0.429 	0.095 	9.412 	
29E   	9   	29   	  950 	above 	red 	green 	Good 	0.290 	0.100 	11.029 	
29E   	9   	30   	  650 	above 	red 	green 	Good 	0.310 	0.095 	10.000 	
29E   	9   	31   	  950 	above 	green 	green 	Good 	0.336 	0.103 	10.588 	
29E   	9   	32   	  50 	below 	red 	green 	Good 	0.514 	0.103 	10.147 	
29E   	10   	2   	  50 	above 	green 	red 	Good 	0.503 	0.062 	4.118 	
29E   	10   	3   	  650 	below 	green 	red 	Good 	0.284 	0.089 	7.500 	
29E   	10   	4   	  350 	below 	red 	green 	Good 	0.381 	0.085 	7.500 	
29E   	10   	5   	  350 	above 	red 	red 	Good 	0.435 	0.064 	8.676 	
29E   	10   	6   	  950 	below 	red 	red 	Good 	0.343 	0.077 	8.088 	
29E   	10   	7   	  650 	above 	green 	green 	Good 	0.267 	0.108 	6.765 	
29E   	10   	8   	  950 	below 	red 	green 	Good 	0.349 	0.091 	10.000 	
