S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
22E   	10   	29   	  50 	below 	red 	green 	Good 	0.887 	0.051 	2.794 	
22E   	10   	30   	  50 	above 	red 	red 	Good 	0.508 	0.126 	12.647 	
22E   	10   	31   	  350 	above 	red 	green 	Good 	0.530 	0.069 	9.118 	
22E   	10   	32   	  950 	above 	green 	green 	Good 	0.454 	0.074 	7.206 	
22E   	11   	1   	  950 	above 	green 	green 	Good 	0.377 	0.078 	14.706 	
22E   	11   	2   	  650 	above 	green 	red 	Good 	0.426 	0.120 	12.059 	
22E   	11   	4   	  350 	below 	red 	green 	Good 	0.405 	0.081 	11.618 	
22E   	11   	5   	  50 	above 	green 	red 	Good 	1.046 	0.117 	13.382 	
22E   	11   	6   	  50 	above 	green 	green 	Good 	0.480 	0.069 	9.265 	
22E   	11   	7   	  350 	above 	red 	green 	Good 	0.421 	0.078 	12.206 	
22E   	11   	8   	  650 	below 	green 	green 	Good 	0.480 	0.081 	11.029 	
22E   	11   	9   	  950 	above 	red 	red 	Good 	0.421 	0.119 	13.088 	
22E   	11   	10   	  50 	below 	red 	green 	Good 	0.508 	0.081 	13.971 	
22E   	11   	11   	  950 	above 	red 	green 	Good 	0.317 	0.086 	14.412 	
22E   	11   	12   	  950 	below 	green 	red 	Good 	0.429 	0.118 	10.735 	
22E   	11   	13   	  650 	above 	red 	green 	Good 	0.317 	0.083 	14.706 	
22E   	11   	14   	  650 	above 	red 	red 	Good 	0.353 	0.098 	13.235 	
22E   	11   	15   	  950 	above 	green 	red 	Good 	0.387 	0.091 	5.588 	
22E   	11   	16   	  350 	below 	green 	red 	Good 	0.524 	0.111 	14.853 	
22E   	11   	17   	  350 	above 	green 	red 	Good 	0.569 	0.112 	12.647 	
22E   	11   	18   	  50 	below 	red 	red 	Good 	0.657 	0.114 	11.471 	
22E   	11   	20   	  350 	above 	green 	green 	Good 	0.311 	0.078 	11.912 	
22E   	11   	21   	  50 	below 	green 	red 	Good 	0.528 	0.119 	9.265 	
22E   	11   	22   	  650 	below 	green 	red 	Good 	0.387 	0.095 	7.059 	
22E   	11   	23   	  650 	below 	red 	green 	Good 	0.365 	0.078 	8.235 	
22E   	11   	24   	  50 	above 	red 	red 	Good 	0.611 	0.114 	8.088 	
22E   	11   	25   	  50 	above 	red 	green 	Good 	0.646 	0.071 	8.529 	
22E   	11   	26   	  650 	below 	red 	red 	Good 	0.300 	0.124 	10.147 	
22E   	11   	27   	  350 	below 	green 	green 	Good 	0.399 	0.075 	8.235 	
22E   	11   	28   	  650 	above 	green 	green 	Good 	0.308 	0.066 	5.000 	
22E   	11   	29   	  950 	below 	red 	green 	Good 	0.462 	0.067 	7.794 	
22E   	11   	30   	  350 	below 	red 	red 	Good 	0.478 	0.114 	11.029 	
22E   	11   	31   	  950 	below 	green 	green 	Good 	0.558 	0.079 	8.088 	
22E   	11   	32   	  50 	below 	green 	green 	Good 	0.512 	0.065 	6.765 	
