S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
34e   	10   	2   	  950 	above 	green 	green 	Good 	0.505 	0.138 	11.029 	
34e   	10   	3   	  650 	below 	green 	red 	Good 	0.398 	0.077 	7.353 	
34e   	10   	4   	  950 	below 	red 	red 	Good 	0.324 	0.060 	4.706 	
34e   	10   	5   	  350 	above 	red 	red 	Good 	0.448 	0.085 	10.441 	
34e   	10   	6   	  950 	below 	green 	red 	Good 	0.533 	0.083 	10.735 	
34e   	10   	7   	  50 	above 	green 	green 	Good 	0.576 	0.128 	9.559 	
34e   	10   	8   	  350 	below 	red 	red 	Good 	0.426 	0.084 	11.765 	
34e   	10   	9   	  350 	above 	green 	red 	Good 	0.351 	0.076 	10.735 	
34e   	10   	10   	  950 	above 	red 	red 	Good 	0.297 	0.082 	13.971 	
34e   	10   	11   	  950 	above 	green 	red 	Good 	0.277 	0.076 	13.529 	
34e   	10   	12   	  950 	above 	red 	green 	Good 	0.361 	0.117 	8.088 	
34e   	10   	13   	  650 	below 	red 	red 	Good 	0.393 	0.072 	10.000 	
34e   	10   	14   	  650 	above 	green 	red 	Good 	0.281 	0.078 	12.353 	
34e   	10   	15   	  50 	below 	green 	red 	Good 	0.584 	0.070 	10.000 	
34e   	10   	16   	  50 	above 	green 	red 	Good 	0.451 	0.089 	9.706 	
34e   	10   	17   	  50 	below 	red 	green 	Good 	0.645 	0.132 	11.471 	
34e   	10   	18   	  650 	above 	red 	green 	Good 	0.375 	0.115 	9.559 	
34e   	10   	19   	  350 	below 	green 	green 	Good 	0.404 	0.128 	10.147 	
34e   	10   	20   	  350 	above 	green 	green 	Good 	0.391 	0.109 	10.147 	
34e   	10   	21   	  50 	above 	red 	red 	Good 	0.468 	0.088 	10.000 	
34e   	10   	22   	  350 	below 	red 	green 	Good 	0.465 	0.138 	10.735 	
34e   	10   	23   	  50 	above 	red 	green 	Good 	0.605 	0.137 	10.588 	
34e   	10   	24   	  350 	above 	red 	green 	Good 	0.494 	0.108 	10.294 	
34e   	10   	25   	  950 	below 	green 	green 	Good 	0.365 	0.122 	8.529 	
34e   	10   	26   	  650 	below 	red 	green 	Good 	0.438 	0.117 	10.000 	
34e   	10   	27   	  950 	below 	red 	green 	Good 	0.407 	0.118 	10.147 	
