S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
26E   	11   	6   	  350 	below 	green 	red 	Good 	0.498 	0.106 	10.882 	
26E   	11   	7   	  650 	below 	red 	green 	Good 	0.544 	0.083 	10.147 	
26E   	11   	8   	  950 	below 	red 	red 	Good 	0.647 	0.106 	10.588 	
26E   	11   	9   	  350 	below 	red 	green 	Good 	0.491 	0.083 	13.382 	
26E   	11   	10   	  50 	below 	green 	green 	Good 	0.603 	0.086 	12.500 	
26E   	11   	11   	  950 	below 	red 	green 	Good 	0.452 	0.087 	12.941 	
26E   	11   	12   	  50 	below 	red 	red 	Good 	0.478 	0.100 	10.882 	
26E   	11   	13   	  650 	above 	green 	green 	Good 	0.702 	0.090 	12.206 	
26E   	11   	14   	  950 	above 	red 	green 	Good 	0.423 	0.105 	12.059 	
26E   	11   	15   	  350 	above 	green 	red 	Good 	0.417 	0.113 	12.353 	
26E   	11   	16   	  350 	below 	red 	red 	Good 	0.483 	0.113 	12.059 	
26E   	11   	17   	  650 	above 	red 	red 	Good 	0.433 	0.112 	9.412 	
26E   	11   	18   	  950 	below 	green 	green 	Good 	0.400 	0.086 	10.588 	
26E   	11   	19   	  950 	above 	red 	red 	Good 	0.536 	0.103 	12.500 	
26E   	11   	20   	  50 	above 	red 	green 	Good 	0.601 	0.084 	13.529 	
26E   	11   	21   	  50 	above 	green 	red 	Good 	0.911 	0.096 	10.441 	
26E   	11   	22   	  50 	below 	green 	red 	Good 	0.632 	0.100 	11.912 	
26E   	11   	23   	  50 	below 	red 	green 	Good 	0.517 	0.092 	9.853 	
26E   	11   	24   	  350 	above 	green 	green 	Good 	0.542 	0.082 	12.353 	
26E   	11   	25   	  650 	below 	red 	red 	Good 	0.573 	0.104 	10.147 	
26E   	11   	26   	  50 	above 	green 	green 	Good 	0.607 	0.081 	12.206 	
26E   	11   	27   	  350 	above 	red 	red 	Good 	0.454 	0.111 	9.706 	
26E   	11   	28   	  50 	above 	red 	red 	Good 	0.446 	0.099 	10.588 	
26E   	11   	29   	  950 	below 	green 	red 	Good 	0.435 	0.101 	9.118 	
26E   	11   	30   	  350 	below 	green 	green 	Good 	0.520 	0.094 	11.471 	
26E   	11   	31   	  950 	above 	green 	green 	Good 	0.465 	0.087 	11.765 	
26E   	11   	32   	  650 	below 	green 	green 	Good 	0.428 	0.090 	12.941 	
