"","exp","non_directional.p","non_directional.statistic","non_directional.consistency_per_id.idv","non_directional.consistency_per_id.score","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high","quid_bf","pbt.low","pbt.high","pbt.MAP"
"138","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"229",0.436,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"139","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"232",0.952,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"140","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"233",0.562,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"141","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"234",0.08,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"142","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"235",0.762,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"143","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"236",0.19,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"144","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"238",0.18,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"145","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"239",0.714,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"146","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"240",0.054,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"147","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"241",0.598,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"148","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"243",0.386,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"149","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"244",0.716,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"150","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"245",0.75,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"151","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"246",0.74,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"152","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"248",0.648,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"153","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"249",0.902,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"154","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"250",0.998,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"155","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"251",0.986,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"156","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"252",0.666,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"157","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"253",0.82,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
