"","idv","iv","iv2","dv","exp","order","half"
"332",12,"JA",1,0.395260149000023,"Battich_etal_2021_rt_1","B1",1
"333",12,"JA",2,0.377867788000003,"Battich_etal_2021_rt_1","B1",1
"334",12,"JA",2,0.460497301000032,"Battich_etal_2021_rt_1","B1",1
"335",12,"JA",1,0.575973665000674,"Battich_etal_2021_rt_2","B1",1
"336",12,"JA",1,0.506825028000094,"Battich_etal_2021_rt_1","B1",1
"337",12,"JA",1,0.423002329000155,"Battich_etal_2021_rt_1","B1",1
"338",12,"JA",2,0.461574764000034,"Battich_etal_2021_rt_2","B1",1
"339",12,"JA",2,0.463016460999825,"Battich_etal_2021_rt_1","B1",1
"340",12,"JA",1,0.455466395999792,"Battich_etal_2021_rt_1","B1",1
"341",12,"JA",1,0.435829436000859,"Battich_etal_2021_rt_1","B1",1
"342",12,"JA",2,0.497983029999887,"Battich_etal_2021_rt_2","B1",1
"343",12,"JA",1,0.969789621000018,"Battich_etal_2021_rt_2","B1",1
"344",12,"JA",1,0.667619615999683,"Battich_etal_2021_rt_2","B1",1
"345",12,"JA",1,0.564900508000392,"Battich_etal_2021_rt_1","B1",1
"346",12,"JA",1,0.474900478000563,"Battich_etal_2021_rt_1","B1",1
"347",12,"JA",1,0.4753318209996,"Battich_etal_2021_rt_1","B1",1
"348",12,"JA",2,0.78629355799967,"Battich_etal_2021_rt_2","B1",1
"349",12,"JA",2,0.665216157999566,"Battich_etal_2021_rt_1","B1",1
"350",12,"JA",2,0.455713280999589,"Battich_etal_2021_rt_2","B1",1
